PARID,Address,Lat,Lon
0049S00195000000,237 ELLA ST PITTSBURGH PA 15224,40.46369506,-79.95115652
0081F00222000000,1123 WOODBINE ST PITTSBURGH PA 15201,40.47855813,-79.94133934
0082P00101000000,5554 AVONDALE PL PITTSBURGH PA 15206,40.4733157,-79.92630879
0082P00165000000,5518 JACKSON ST PITTSBURGH PA 15206,40.472868,-79.92758265
0083H00283000000,816 N SHERIDAN AVE PITTSBURGH PA 15206,40.4707805,-79.9179566
0082M00176000000,5912 BRYANT ST PITTSBURGH PA 15206,40.4753879,-79.91934004
0083G00232000000,735 N HIGHLAND AVE PITTSBURGH PA 15206,40.469098,-79.921413
0087S00135000000,6472 MONITOR ST PITTSBURGH PA 15217,40.425102,-79.917008
0087S00112000000,6471 MONITOR ST PITTSBURGH PA 15217,40.425137,-79.917219
0087L00117000000,5880 BURCHFIELD AVE PITTSBURGH PA 15217,40.4263044,-79.92410177
0125R00174000000,6955 MCPHERSON BLVD PITTSBURGH PA 15208,40.45370985,-79.90415015
0125P00042000000,6724 MCPHERSON BLVD PITTSBURGH PA 15208,40.45543549,-79.90997859
0125P00043000000,6714 MCPHERSON BLVD PITTSBURGH PA 15208,40.45551097,-79.91017787
0125P00069000000,6735 THOMAS BLVD PITTSBURGH PA 15208,40.4541224,-79.9090515
0176E00048000000,575 S BRADDOCK AVE PITTSBURGH PA 15221,40.44040154,-79.89764202
0176E00049000000,577 S BRADDOCK AVE PITTSBURGH PA 15221,40.44035124,-79.89765872
0175P00045000000,7716 BRASHEAR ST PITTSBURGH PA 15221,40.44463132,-79.8939922
0176F00019000000,582 PEEBLES ST PITTSBURGH PA 15221,40.4401673,-79.89471106
0128A00143000000,2207 IMPERIAL ST PITTSBURGH PA 15217,40.4326238,-79.9140212
0055A00221000000,70 BIGELOW ST PITTSBURGH PA 15207,40.42331986,-79.94853012
0056J00143000000,25 TECUMSEH ST PITTSBURGH PA 15207,40.407719,-79.947369
0087N00164000000,933 KENNEBEC ST PITTSBURGH PA 15217,40.42499954,-79.9309253
0012F00293000000,2123 SIDNEY ST PITTSBURGH PA 15203,40.42947494,-79.97571514
0013G00242000000,2430 BERG ST PITTSBURGH PA 15203,40.41959351,-79.9719959
0003L00166000000,110 S 11TH ST PITTSBURGH PA 15203,40.427037,-79.987581
0003S00144000000,1 SAINT MICHAEL ST PITTSBURGH PA 15203,40.42461,-79.984687
0003R00296000000,7 RENWICK ST PITTSBURGH PA 15210,40.42393041,-79.98993502
0012K00237000000,2015 JANE ST PITTSBURGH PA 15203,40.42684909,-79.97749745
0012N00114000A00,143 PIUS ST PITTSBURGH PA 15203,40.42441524,-79.97961206
0014E00331000000,709 INDUSTRY ST PITTSBURGH PA 15210,40.42071228,-79.99509082
0014A00159000000,102 BELTZHOOVER AVE PITTSBURGH PA 15210,40.42151804,-79.99728979
0014A00208000000,70 MILLBRIDGE ST PITTSBURGH PA 15210,40.42209933,-79.99592989
0014H00130000000,2642 QUARRY ST PITTSBURGH PA 15210,40.42060329,-79.98491343
0014G00247000000,984 INDUSTRY ST PITTSBURGH PA 15210,40.42081025,-79.98881826
0034G00076000000,402 TIMBERLAND AVE PITTSBURGH PA 15226,40.41027172,-80.00649171
0015D00157000000,86 ESTELLA AVE PITTSBURGH PA 15211,40.42268131,-80.00090548
0015D00103000000,82 PASADENA ST PITTSBURGH PA 15211,40.42337569,-80.00189061
0004S00330000000,120 KATHLEEN ST PITTSBURGH PA 15211,40.4254513,-80.00374137
0004P00173000000,171 SOUTHERN AVE PITTSBURGH PA 15211,40.42483122,-80.00980374
0004P00225000000,4 DEWITT ST PITTSBURGH PA 15211,40.4242305,-80.00931293
0035F00229000000,1010 HAMPSHIRE AVE PITTSBURGH PA 15216,40.41064297,-80.0249041
0035H00142000000,1621 WESTFIELD ST PITTSBURGH PA 15216,40.41018423,-80.01903095
0035D00005000000,1509 ROCKLAND AVE PITTSBURGH PA 15216,40.41183084,-80.02002092
0035B00138000000,1525 RUTHERFORD AVE PITTSBURGH PA 15216,40.4118511,-80.02635057
0035F00110000000,1603 BELASCO AVE PITTSBURGH PA 15216,40.4102345,-80.0271985
0062E00001000000,2334 CANDACE ST PITTSBURGH PA 15216,40.4014811,-80.0321141
0062E00169000000,388 INGOMAR ST PITTSBURGH PA 15216,40.3998468,-80.0287557
0062P00286000000,224 AIDYL AVE PITTSBURGH PA 15226,40.39591089,-80.02801681
0062R00171000000,703 BROOKLINE BLVD PITTSBURGH PA 15226,40.39440761,-80.02076824
0041B00160000000,1020 HILLSBORO ST PITTSBURGH PA 15204,40.45212579,-80.05880712
0042M00055000000,3012 ZEPHYR AVE PITTSBURGH PA 15204,40.45661657,-80.05361206
0042S00296000000,2738 GLEN MAWR ST PITTSBURGH PA 15204,40.45499,-80.04993
0042P00007000000,1017 FAIRDALE ST PITTSBURGH PA 15204,40.45522945,-80.06128272
0020R00219000000,607 LORENZ AVE PITTSBURGH PA 15220,40.44536375,-80.038387
0020C00015000000,1353 LAKEWOOD ST PITTSBURGH PA 15220,40.44968329,-80.04131308
0020P00012000000,1024 STEUBEN ST PITTSBURGH PA 15220,40.443244,-80.04373
0020S00171000000,707 ELKTON ST PITTSBURGH PA 15220,40.44494159,-80.03407677
0048J00222000000,1950 LOWRIE ST PITTSBURGH PA 15212,40.46679581,-79.9805861
0022D00216000A00,846 BRIGHTRIDGE ST PITTSBURGH PA 15214,40.46184727,-80.01867655
0046J00036000000,507 CHESTER AVE PITTSBURGH PA 15214,40.46650661,-80.01595034
0045S00404000000,24 STRAUSS ST PITTSBURGH PA 15214,40.4643629,-80.0196711
0023E00212000000,1524 GARFIELD AVE PITTSBURGH PA 15212,40.45811617,-80.01232305
0022H00236000000,1715 BRIGHTON PL PITTSBURGH PA 15212,40.4600486,-80.0178885
0046G00041000000,2417 OSGOOD ST PITTSBURGH PA 15214,40.46858895,-80.00751385
0045H00210000000,2531 N CHARLES ST PITTSBURGH PA 15214,40.46732849,-80.01779411
0046F00276000000,2338 MAPLE AVE PITTSBURGH PA 15214,40.467531,-80.00838235
0024F00187000000,1117 SPRING GARDEN AVE PITTSBURGH PA 15212,40.45980366,-79.9928428
0023K00355000000,1220 ARCH ST PITTSBURGH PA 15212,40.4561442,-80.00884433
0075R00064000000,3236 CALIFORNIA AVE PITTSBURGH PA 15212,40.47405902,-80.03860224
0014P00123000000,301 ROCHELLE ST PITTSBURGH PA 15210,40.415118,-79.993182
0094K00213000000,156 KIRK AVE PITTSBURGH PA 15227,40.38716708,-79.97731342
0014L00091000000,17 AMANDA AVE PITTSBURGH PA 15210,40.4022654,-79.9884792
0137E00166000000,129 NEWBURN AVE PITTSBURGH PA 15227,40.38144725,-79.98066871
0060S00046000000,107 POPLARGROVE ST PITTSBURGH PA 15210,40.3963013,-79.98630239
0039K00240000000,2554 NOBLESTOWN RD PITTSBURGH PA 15205,40.42646454,-80.06224039
0060R00124000000,1813 MOUNT JOSEPH ST PITTSBURGH PA 15210,40.39645382,-79.99023622
0060S00072000000,218 POPLARGROVE ST PITTSBURGH PA 15210,40.3966958,-79.98444855
0185S00300000000,5703 COX AVE PITTSBURGH PA 15207,40.36701076,-79.91732494
1002B00004000700,407 WASHINGTON AVE CLAIRTON PA 15025,40.2876072,-79.8936405
1002B00007000100,701 WASHINGTON AVE CLAIRTON PA 15025,40.2874865,-79.8945223
1002B00004000100,401 WASHINGTON AVE CLAIRTON PA 15025,40.2877295,-79.8934138
0879P00010000100,1001 MADISON AVE CLAIRTON PA 15025,40.28796976,-79.89492379
1002A00030000100,3001 MILES AVE CLAIRTON PA 15025,40.2874562,-79.8969918
1002B00002000100,201 WASHINGTON AVE CLAIRTON PA 15025,40.2874476,-79.8941786
1002A00029000100,2901 SOLTIS DR CLAIRTON PA 15025,40.2871096,-79.8969889
0040G00228000000,127 ELMONT ST PITTSBURGH PA 15205,40.43958562,-80.05495038
0113H00003000000,155 S BRYANT AVE PITTSBURGH PA 15202,40.49017,-80.05362
0113H00005000000,151 S BRYANT AVE PITTSBURGH PA 15202,40.49001,-80.05354
0113G00232000000,119 CEDAR AVE PITTSBURGH PA 15202,40.4508645,-80.0008851
0066N00184000000,13 HOWARD ST CARNEGIE PA 15106,40.40518,-80.08237
0066N00025000000,656 DOW AVE CARNEGIE PA 15106,40.40628075,-80.07962425
0102B00200000000,613 W MAIN ST CARNEGIE PA 15106,40.402015,-80.094723
0137F00309000000,2929 CLERMONT AVE PITTSBURGH PA 15227,40.38246,-79.97498
0137L00098000000,111 E FRANCIS AVE PITTSBURGH PA 15227,40.37995,-79.9739
0160J00085000000,943 JACKMAN AVE PITTSBURGH PA 15202,40.4971,-80.06442
0214R00248000000,403 CALIFORNIA AVE PITTSBURGH PA 15202,40.4830323,-80.0411547
0214S00219000000,605 GIRARD AVE PITTSBURGH PA 15202,40.50329,-80.06888
0374L00149000000,132 FAIRVIEW AVE EAST PITTSBURGH PA 15112,40.40861,-79.83916
0103P00220000000,372 5TH AVE CARNEGIE PA 15106,40.4056093,-80.09225953
0342B00363000000,105 BROADWAY ST CORAOPOLIS PA 15108,40.51899095,-80.1592385
0342E00267000000,412 MILL ST CORAOPOLIS PA 15108,40.5181513,-80.16431148
0094P00329000000,2720 CHURCHVIEW AVE PITTSBURGH PA 15227,40.38527,-79.976352
0069E00136000000,285 W STEUBEN ST PITTSBURGH PA 15205,40.4412977,-80.0364129
0069S00264000000,29 COULTER ST PITTSBURGH PA 15205,40.4359,-80.06913
0069M00067000000,5 DIVISION ST PITTSBURGH PA 15205,40.43745,-80.06683
0069R00226000000,606 BROADHEAD AVE PITTSBURGH PA 15205,40.43615,-80.07413
0068F00072000000,96 S GRANDVIEW AVE PITTSBURGH PA 15205,40.4398425,-80.0221303
0063S00092000000,1419 KEY AVE PITTSBURGH PA 15216,40.39738,-80.03294
0130S00290000000,1216 LOUISE ST HOMESTEAD PA 15120,40.40561,-79.90276
0014M00182000000,1740 ARLINGTON AVE PITTSBURGH PA 15210,40.417509,-79.98480354
0131H00269000000,133 E 20TH AVE HOMESTEAD PA 15120,40.3995963,-79.9021025
0033H00244000000,5 ELIZABETH ST PITTSBURGH PA 15210,40.40680396,-79.94446315
0130R00348000000,1131 MCCLURE ST HOMESTEAD PA 15120,40.40559195,-79.90458795
0118G00075000000,7 JOHN ST PITTSBURGH PA 15209,40.4878,-79.97295
0131E00318000000,350 W 12TH AVE HOMESTEAD PA 15120,40.40145266,-79.91180252
0101B00202000000,537 GRANT AVE CARNEGIE PA 15106,40.4127351,-80.0892293
0014S00043000000,135 KOEHLER ST PITTSBURGH PA 15210,40.41698,-79.98471
0373K00238000000,131 SUMNER AVE PITTSBURGH PA 15221,40.41937,-79.84509
0074L00162000000,328 WASHINGTON ST MC KEES ROCKS PA 15136,40.47518135,-80.05586957
0072R00143000000,1213 CHURCH AVE MC KEES ROCKS PA 15136,40.46401765,-80.07116327
0074R00008000000,119 SHINGISS ST MC KEES ROCKS PA 15136,40.4730605,-80.05362935
0074R00010000000,123 SHINGISS ST MC KEES ROCKS PA 15136,40.4731502,-80.05370201
0455R00095000000,927 LYNN AVE TURTLE CREEK PA 15145,40.40614069,-79.82201443
0747B00219000000,535 3RD ST PITCAIRN PA 15140,40.40328329,-79.77737627
0747B00220000000,537 3RD ST PITCAIRN PA 15140,40.40328823,-79.77734808
0747B00224000000,557 3RD ST PITCAIRN PA 15140,40.40333766,-79.7770662
0747A00014000000,427 2ND ST PITCAIRN PA 15140,40.40216132,-79.77959373
0168L00110000000,1739 MAIN ST PITTSBURGH PA 15215,40.4635458,-79.9523247
0627S00266000000,509 CHESTNUT ST SPRINGDALE PA 15144,40.54204163,-79.78611745
0232P00238000000,922 HILL AVE PITTSBURGH PA 15221,40.44452482,-79.87901833
0232S00016000000,1613 WESLEY ST PITTSBURGH PA 15221,40.44627,-79.86958
0178M00090000000,2232 WOODSTOCK AVE PITTSBURGH PA 15218,40.41934,-79.88395
0235J00198000000,7542 ORMOND ST PITTSBURGH PA 15218,40.41922,-79.88189
0297K00111000000,2020 LINDSAY RD PITTSBURGH PA 15221,40.44698,-79.86152
0280A00207000000,133 GLENMORE AVE PITTSBURGH PA 15229,40.51959,-80.03007
0313R00320000000,527 ORCHARD DR PITTSBURGH PA 15236,40.34682,-79.9547
1210S00194000000,2303 W HARDIES RD GIBSONIA PA 15044,40.59958,-79.96881
0073J00041000000,1419 PINE HOLLOW RD MC KEES ROCKS PA 15136,40.4703704,-80.0775479
0073J00043000000,1427 PINE HOLLOW RD MC KEES ROCKS PA 15136,40.4703704,-80.0775479
0045H00209000000,2529 N CHARLES ST PITTSBURGH PA 15214,40.46730956,-80.01784867
0944N00349000000,380 SUNSET RD PITTSBURGH PA 15237,40.58223,-80.04801
0943G00017000000,9758 BELLCREST RD PITTSBURGH PA 15237,40.58561,-80.05408
0825B00268000000,283 SUNSET RD PITTSBURGH PA 15237,40.57896,-80.04365
0635G00121000000,2510 SCHOOL ST PITTSBURGH PA 15235,40.47091,-79.7881
0369C00185000000,142 RITZLAND RD PITTSBURGH PA 15235,40.46327,-79.83893
0296G00095000000,192 HOWARD ST PITTSBURGH PA 15235,40.39679945,-79.84453145
0296G00098000000,196 HOWARD ST PITTSBURGH PA 15235,40.39679891,-79.84452291
0449S00076000000,230 UNIVERSAL RD PITTSBURGH PA 15235,40.46516,-79.82023
0164J00010000000,3917 MOUNT TROY RD PITTSBURGH PA 15212,40.4752,-79.9868568
0473R00098000000,1112 EDITH AVE PITTSBURGH PA 15236,40.32737,-79.98866
0069F00180000000,219 W STEUBEN ST PITTSBURGH PA 15205,40.4412977,-80.0364129
0016K00112000000,615 WENTWORTH AVE PITTSBURGH PA 15216,40.41647635,-80.025348
0073N00158000000,1109 12TH ST MC KEES ROCKS PA 15136,40.47454,-80.07948
0112E00248000000,17 WALTHER ST MC KEES ROCKS PA 15136,40.48999,-80.08072
0084N00336000000,655 MARYLAND AVE PITTSBURGH PA 15232,40.45462038,-79.92979819
0035B00105000000,1416 RUTHERFORD AVE PITTSBURGH PA 15216,40.41351835,-80.0269228
0084E00026000000,328 AMBER ST PITTSBURGH PA 15206,40.4599042,-79.93180038
0120K00044000000,201 57TH ST PITTSBURGH PA 15201,40.4845912,-79.9456663
0028R00234000000,23 WELSFORD ST PITTSBURGH PA 15213,40.43538842,-79.95553997
0596S00185000000,1504 CORAOPOLIS HEIGHTS RD CORAOPOLIS PA 15108,40.50431,-80.20069
0014R00174000000,91 AMANDA AVE PITTSBURGH PA 15210,40.4022654,-79.9884792
0374B00157000000,409 AVENUE D  PITTSBURGH PA 15221,40.41261,-79.84315
0012K00275000000,1922 JANE ST PITTSBURGH PA 15203,40.42676142,-79.97890218
0087P00092000000,3609 BEECHWOOD BLVD PITTSBURGH PA 15217,40.425457,-79.92695
0103K00248000000,124 7TH AVE CARNEGIE PA 15106,40.40888131,-80.09199943
0014A00068000000,429 KINGSBORO ST PITTSBURGH PA 15211,40.42183206,-79.99999507
0062E00002000000,2330 CANDACE ST PITTSBURGH PA 15216,40.4016611,-80.03223719
0035C00012000000,1518 FALLOWFIELD AVE PITTSBURGH PA 15216,40.41216655,-80.0240505
0082P00100000000,5552 AVONDALE PL PITTSBURGH PA 15206,40.47335465,-79.92641437
0747A00133000000,326 3RD ST PITCAIRN PA 15140,40.40271289,-79.7817319
0342L00285000000,1355 5TH AVE CORAOPOLIS PA 15108,40.5150487,-80.15734012
0272J00005000000,2316 STATE AVE CORAOPOLIS PA 15108,40.5063075,-80.14967552
0055C00006000000,525 FARNSWORTH ST PITTSBURGH PA 15207,40.42336747,-79.94141447
0033P00073000000,1025 BROWNSVILLE RD PITTSBURGH PA 15210,40.40612948,-79.99179022
0068L00282000000,6 CHARTIERS AVE PITTSBURGH PA 15205,40.42917337,-80.07092518
0082P00298000000,5630 JACKSON ST PITTSBURGH PA 15206,40.47244721,-79.92483601
0879P00005000100,501 WASHINGTON AVE CLAIRTON PA 15025,40.2877764,-79.8937426
0635G00127000000,2506 SCHOOL ST PITTSBURGH PA 15235,40.47102,-79.78843
0012J00315000000,129 S 18TH ST PITTSBURGH PA 15203,40.42707,-79.980621
0084J00379000000,641 MARYLAND AVE PITTSBURGH PA 15232,40.45511641,-79.93008341
0015J00030000000,810 SOUTHERN AVE PITTSBURGH PA 15211,40.4184911,-80.01381392
0130L00313000000,408 E 8TH AVE HOMESTEAD PA 15120,40.408705,-79.90686171
0085A00287000000,5746 HOWE ST PITTSBURGH PA 15232,40.45159546,-79.92890096
0033G00085000000,209 GIFFIN AVE PITTSBURGH PA 15210,40.40938648,-79.98894105
0069M00062000000,3 DIVISION ST PITTSBURGH PA 15205,40.43759,-80.06709
0029C00362000000,3237 DAWSON ST PITTSBURGH PA 15213,40.43166506,-79.95390869
0097C00019000000,732 BAYRIDGE AVE PITTSBURGH PA 15226,40.39259797,-80.02341715
0051M00245000000,539 S GRAHAM ST PITTSBURGH PA 15232,40.45543528,-79.93573725
0028L00271000000,3602 BATES ST PITTSBURGH PA 15213,40.4371845,-79.9547445
0179J00288000000,831 HALL ST HOMESTEAD PA 15120,40.40914,-79.89607
0035B00215000000,1425 METHYL ST PITTSBURGH PA 15216,40.41325005,-80.02556405
0020R00017000000,1012 CHARTIERS AVE PITTSBURGH PA 15220,40.444461,-80.041036
0073J00037000000,1415 PINE HOLLOW RD MC KEES ROCKS PA 15136,40.4703704,-80.0775479
0063G00216000000,1760 POTOMAC AVE PITTSBURGH PA 15216,40.4023245,-80.0402544
0130N00393000000,142 W 9TH AVE HOMESTEAD PA 15120,40.40490987,-79.91189109
0713C00126000000,610 SLOOP RD PITTSBURGH PA 15237,40.56881,-80.0554
0126A00165000000,209 ELYSIAN ST PITTSBURGH PA 15206,40.45279571,-79.91392507
