_id,metric_name,report_group,calendar_year,kpi_count,geo_area_name,population_name,acs_5_yr_est,kpi_population
559784,Overdoses,Community Trends,2021,,Brackenridge,Total Population,,3315
559785,Overdoses,Community Trends,2022,,Brackenridge,Total Population,,3315
559786,Overdoses,Community Trends,2017,,Braddock,Total Population,,1749
559787,Overdoses,Community Trends,2018,,Braddock,Total Population,,1749
559788,Overdoses,Community Trends,2019,,Braddock,Total Population,,1749
559789,Overdoses,Community Trends,2020,,Braddock,Total Population,,1749
559790,Overdoses,Community Trends,2021,,Braddock,Total Population,,1749
559791,Overdoses,Community Trends,2022,,Braddock,Total Population,,1749
559792,Overdoses,Community Trends,2017,,Braddock Hills,Total Population,,1751
559793,Overdoses,Community Trends,2018,,Braddock Hills,Total Population,,1751
559794,Overdoses,Community Trends,2019,,Braddock Hills,Total Population,,1751
559795,Overdoses,Community Trends,2020,,Braddock Hills,Total Population,,1751
559796,Overdoses,Community Trends,2021,,Braddock Hills,Total Population,,1751
559797,Overdoses,Community Trends,2022,,Braddock Hills,Total Population,,1751
559798,Overdoses,Community Trends,2017,,Bradford Woods,Total Population,,1236
559799,Overdoses,Community Trends,2018,,Bradford Woods,Total Population,,1236
559800,Overdoses,Community Trends,2019,,Bradford Woods,Total Population,,1236
559801,Overdoses,Community Trends,2020,,Bradford Woods,Total Population,,1236
559802,Overdoses,Community Trends,2021,,Bradford Woods,Total Population,,1236
559803,Overdoses,Community Trends,2022,,Bradford Woods,Total Population,,1236
559804,Overdoses,Community Trends,2017,11,Brentwood,Total Population,,9983
559805,Overdoses,Community Trends,2018,,Brentwood,Total Population,,9983
559806,Overdoses,Community Trends,2019,7,Brentwood,Total Population,,9983
559807,Overdoses,Community Trends,2020,7,Brentwood,Total Population,,9983
559808,Overdoses,Community Trends,2021,,Brentwood,Total Population,,9983
559809,Overdoses,Community Trends,2022,,Brentwood,Total Population,,9983
559810,Overdoses,Community Trends,2017,,Bridgeville,Total Population,,5207
559811,Overdoses,Community Trends,2018,,Bridgeville,Total Population,,5207
559812,Overdoses,Community Trends,2019,,Bridgeville,Total Population,,5207
559813,Overdoses,Community Trends,2020,,Bridgeville,Total Population,,5207
559814,Overdoses,Community Trends,2021,,Bridgeville,Total Population,,5207
559815,Overdoses,Community Trends,2022,,Bridgeville,Total Population,,5207
559816,Overdoses,Community Trends,2017,6,Carnegie,Total Population,,8266
559817,Overdoses,Community Trends,2018,,Carnegie,Total Population,,8266
559818,Overdoses,Community Trends,2019,6,Carnegie,Total Population,,8266
559819,Overdoses,Community Trends,2020,10,Carnegie,Total Population,,8266
559820,Overdoses,Community Trends,2021,,Carnegie,Total Population,,8266
559821,Overdoses,Community Trends,2022,,Carnegie,Total Population,,8266
559822,Overdoses,Community Trends,2017,,Castle Shannon,Total Population,,8439
559823,Overdoses,Community Trends,2018,,Castle Shannon,Total Population,,8439
559824,Overdoses,Community Trends,2019,6,Castle Shannon,Total Population,,8439
559825,Overdoses,Community Trends,2020,,Castle Shannon,Total Population,,8439
559826,Overdoses,Community Trends,2021,6,Castle Shannon,Total Population,,8439
559827,Overdoses,Community Trends,2022,,Castle Shannon,Total Population,,8439
559828,Overdoses,Community Trends,2017,,Chalfant,Total Population,,755
559829,Overdoses,Community Trends,2018,,Chalfant,Total Population,,755
559830,Overdoses,Community Trends,2019,,Chalfant,Total Population,,755
559831,Overdoses,Community Trends,2020,,Chalfant,Total Population,,755
559832,Overdoses,Community Trends,2021,,Chalfant,Total Population,,755
559833,Overdoses,Community Trends,2022,,Chalfant,Total Population,,755
559834,Overdoses,Community Trends,2017,,Cheswick,Total Population,,1739
559835,Overdoses,Community Trends,2018,,Cheswick,Total Population,,1739
559836,Overdoses,Community Trends,2019,,Cheswick,Total Population,,1739
559837,Overdoses,Community Trends,2020,,Cheswick,Total Population,,1739
559838,Overdoses,Community Trends,2021,,Cheswick,Total Population,,1739
559839,Overdoses,Community Trends,2022,,Cheswick,Total Population,,1739
559840,Overdoses,Community Trends,2017,,Churchill,Total Population,,3042
559841,Overdoses,Community Trends,2018,,Churchill,Total Population,,3042
559842,Overdoses,Community Trends,2019,,Churchill,Total Population,,3042
559843,Overdoses,Community Trends,2020,,Churchill,Total Population,,3042
559844,Overdoses,Community Trends,2021,,Churchill,Total Population,,3042
559845,Overdoses,Community Trends,2022,,Churchill,Total Population,,3042
559846,Overdoses,Community Trends,2017,,Clairton,Total Population,,6857
559847,Overdoses,Community Trends,2018,,Clairton,Total Population,,6857
559848,Overdoses,Community Trends,2019,6,Clairton,Total Population,,6857
559849,Overdoses,Community Trends,2020,14,Clairton,Total Population,,6857
559850,Overdoses,Community Trends,2021,10,Clairton,Total Population,,6857
559851,Overdoses,Community Trends,2022,,Clairton,Total Population,,6857
559852,Overdoses,Community Trends,2017,,Collier,Total Population,,8290
559853,Overdoses,Community Trends,2018,,Collier,Total Population,,8290
559854,Overdoses,Community Trends,2019,,Collier,Total Population,,8290
559855,Overdoses,Community Trends,2020,,Collier,Total Population,,8290
559856,Overdoses,Community Trends,2021,,Collier,Total Population,,8290
559857,Overdoses,Community Trends,2022,,Collier,Total Population,,8290
559858,Overdoses,Community Trends,2017,,Coraopolis,Total Population,,5769
559859,Overdoses,Community Trends,2018,,Coraopolis,Total Population,,5769
559860,Overdoses,Community Trends,2019,,Coraopolis,Total Population,,5769
559861,Overdoses,Community Trends,2020,,Coraopolis,Total Population,,5769
559862,Overdoses,Community Trends,2021,,Coraopolis,Total Population,,5769
559863,Overdoses,Community Trends,2022,,Coraopolis,Total Population,,5769
559864,Overdoses,Community Trends,2017,6,Crafton,Total Population,,6122
559865,Overdoses,Community Trends,2018,,Crafton,Total Population,,6122
559866,Overdoses,Community Trends,2019,,Crafton,Total Population,,6122
559867,Overdoses,Community Trends,2020,,Crafton,Total Population,,6122
559868,Overdoses,Community Trends,2021,6,Crafton,Total Population,,6122
559869,Overdoses,Community Trends,2022,,Crafton,Total Population,,6122
559870,Overdoses,Community Trends,2017,,Crescent,Total Population,,2695
559871,Overdoses,Community Trends,2018,,Crescent,Total Population,,2695
559872,Overdoses,Community Trends,2019,,Crescent,Total Population,,2695
559873,Overdoses,Community Trends,2020,,Crescent,Total Population,,2695
559874,Overdoses,Community Trends,2021,,Crescent,Total Population,,2695
559875,Overdoses,Community Trends,2022,,Crescent,Total Population,,2695
559876,Overdoses,Community Trends,2017,,Dormont,Total Population,,8702
559877,Overdoses,Community Trends,2018,,Dormont,Total Population,,8702
559878,Overdoses,Community Trends,2019,6,Dormont,Total Population,,8702
559879,Overdoses,Community Trends,2020,8,Dormont,Total Population,,8702
559880,Overdoses,Community Trends,2021,,Dormont,Total Population,,8702
559881,Overdoses,Community Trends,2022,,Dormont,Total Population,,8702
559882,Overdoses,Community Trends,2017,,Dravosburg,Total Population,,1840
559883,Overdoses,Community Trends,2018,,Dravosburg,Total Population,,1840
559884,Overdoses,Community Trends,2019,,Dravosburg,Total Population,,1840
559885,Overdoses,Community Trends,2020,,Dravosburg,Total Population,,1840
559886,Overdoses,Community Trends,2021,,Dravosburg,Total Population,,1840
559887,Overdoses,Community Trends,2022,,Dravosburg,Total Population,,1840
559888,Overdoses,Community Trends,2017,,Duquesne,Total Population,,5935
559889,Overdoses,Community Trends,2018,,Duquesne,Total Population,,5935
559890,Overdoses,Community Trends,2019,,Duquesne,Total Population,,5935
559891,Overdoses,Community Trends,2020,,Duquesne,Total Population,,5935
559892,Overdoses,Community Trends,2021,6,Duquesne,Total Population,,5935
559893,Overdoses,Community Trends,2022,8,Duquesne,Total Population,,5935
559894,Overdoses,Community Trends,2017,,East Deer,Total Population,,1440
559895,Overdoses,Community Trends,2018,,East Deer,Total Population,,1440
559896,Overdoses,Community Trends,2019,,East Deer,Total Population,,1440
559897,Overdoses,Community Trends,2020,,East Deer,Total Population,,1440
559898,Overdoses,Community Trends,2021,,East Deer,Total Population,,1440
559899,Overdoses,Community Trends,2022,,East Deer,Total Population,,1440
559900,Overdoses,Community Trends,2017,,East Mckeesport,Total Population,,2207
559901,Overdoses,Community Trends,2018,,East Mckeesport,Total Population,,2207
559902,Overdoses,Community Trends,2019,,East Mckeesport,Total Population,,2207
559903,Overdoses,Community Trends,2020,,East Mckeesport,Total Population,,2207
559904,Overdoses,Community Trends,2021,,East Mckeesport,Total Population,,2207
559905,Overdoses,Community Trends,2022,,East Mckeesport,Total Population,,2207
559906,Overdoses,Community Trends,2017,,East Pittsburgh,Total Population,,1923
559907,Overdoses,Community Trends,2018,,East Pittsburgh,Total Population,,1923
559908,Overdoses,Community Trends,2019,,East Pittsburgh,Total Population,,1923
559909,Overdoses,Community Trends,2020,,East Pittsburgh,Total Population,,1923
559910,Overdoses,Community Trends,2021,,East Pittsburgh,Total Population,,1923
559911,Overdoses,Community Trends,2022,,East Pittsburgh,Total Population,,1923
559912,Overdoses,Community Trends,2017,,Edgewood,Total Population,,3252
559913,Overdoses,Community Trends,2018,,Edgewood,Total Population,,3252
559914,Overdoses,Community Trends,2019,,Edgewood,Total Population,,3252
559915,Overdoses,Community Trends,2020,,Edgewood,Total Population,,3252
559916,Overdoses,Community Trends,2021,,Edgewood,Total Population,,3252
559917,Overdoses,Community Trends,2022,,Edgewood,Total Population,,3252
559918,Overdoses,Community Trends,2017,,Edgeworth,Total Population,,1640
559919,Overdoses,Community Trends,2018,,Edgeworth,Total Population,,1640
559920,Overdoses,Community Trends,2019,,Edgeworth,Total Population,,1640
559921,Overdoses,Community Trends,2020,,Edgeworth,Total Population,,1640
559922,Overdoses,Community Trends,2021,,Edgeworth,Total Population,,1640
559923,Overdoses,Community Trends,2022,,Edgeworth,Total Population,,1640
559924,Overdoses,Community Trends,2017,,Elizabeth Borough,Total Population,,1497
559925,Overdoses,Community Trends,2018,,Elizabeth Borough,Total Population,,1497
559926,Overdoses,Community Trends,2019,,Elizabeth Borough,Total Population,,1497
559927,Overdoses,Community Trends,2020,,Elizabeth Borough,Total Population,,1497
559928,Overdoses,Community Trends,2021,,Elizabeth Borough,Total Population,,1497
559929,Overdoses,Community Trends,2022,,Elizabeth Borough,Total Population,,1497
559930,Overdoses,Community Trends,2017,7,Elizabeth Township,Total Population,,13418
559931,Overdoses,Community Trends,2018,,Elizabeth Township,Total Population,,13418
559932,Overdoses,Community Trends,2019,,Elizabeth Township,Total Population,,13418
559933,Overdoses,Community Trends,2020,7,Elizabeth Township,Total Population,,13418
559934,Overdoses,Community Trends,2021,,Elizabeth Township,Total Population,,13418
559935,Overdoses,Community Trends,2022,,Elizabeth Township,Total Population,,13418
559936,Overdoses,Community Trends,2017,,Emsworth,Total Population,,2601
559937,Overdoses,Community Trends,2018,,Emsworth,Total Population,,2601
559938,Overdoses,Community Trends,2019,,Emsworth,Total Population,,2601
559939,Overdoses,Community Trends,2020,,Emsworth,Total Population,,2601
559940,Overdoses,Community Trends,2021,,Emsworth,Total Population,,2601
559941,Overdoses,Community Trends,2022,,Emsworth,Total Population,,2601
559942,Overdoses,Community Trends,2017,,Etna,Total Population,,3463
559943,Overdoses,Community Trends,2018,,Etna,Total Population,,3463
559944,Overdoses,Community Trends,2019,,Etna,Total Population,,3463
559945,Overdoses,Community Trends,2020,6,Etna,Total Population,,3463
559946,Overdoses,Community Trends,2021,,Etna,Total Population,,3463
559947,Overdoses,Community Trends,2022,,Etna,Total Population,,3463
559948,Overdoses,Community Trends,2017,,Fawn,Total Population,,2344
559949,Overdoses,Community Trends,2018,,Fawn,Total Population,,2344
559950,Overdoses,Community Trends,2019,,Fawn,Total Population,,2344
559951,Overdoses,Community Trends,2020,,Fawn,Total Population,,2344
559952,Overdoses,Community Trends,2021,,Fawn,Total Population,,2344
559953,Overdoses,Community Trends,2022,,Fawn,Total Population,,2344
559954,Overdoses,Community Trends,2017,,Findlay,Total Population,,5884
559955,Overdoses,Community Trends,2018,,Findlay,Total Population,,5884
559956,Overdoses,Community Trends,2019,,Findlay,Total Population,,5884
559957,Overdoses,Community Trends,2020,,Findlay,Total Population,,5884
559958,Overdoses,Community Trends,2021,,Findlay,Total Population,,5884
559959,Overdoses,Community Trends,2022,,Findlay,Total Population,,5884
559960,Overdoses,Community Trends,2017,,Forest Hills,Total Population,,6507
559961,Overdoses,Community Trends,2018,,Forest Hills,Total Population,,6507
559962,Overdoses,Community Trends,2019,,Forest Hills,Total Population,,6507
559963,Overdoses,Community Trends,2020,,Forest Hills,Total Population,,6507
559964,Overdoses,Community Trends,2021,,Forest Hills,Total Population,,6507
559965,Overdoses,Community Trends,2022,,Forest Hills,Total Population,,6507
559966,Overdoses,Community Trends,2017,,Forward,Total Population,,3360
559967,Overdoses,Community Trends,2018,,Forward,Total Population,,3360
559968,Overdoses,Community Trends,2019,,Forward,Total Population,,3360
559969,Overdoses,Community Trends,2020,,Forward,Total Population,,3360
559970,Overdoses,Community Trends,2021,,Forward,Total Population,,3360
559971,Overdoses,Community Trends,2022,,Forward,Total Population,,3360
559972,Overdoses,Community Trends,2017,,Fox Chapel,Total Population,,5406
559973,Overdoses,Community Trends,2018,,Fox Chapel,Total Population,,5406
559974,Overdoses,Community Trends,2019,,Fox Chapel,Total Population,,5406
559975,Overdoses,Community Trends,2020,,Fox Chapel,Total Population,,5406
559976,Overdoses,Community Trends,2021,,Fox Chapel,Total Population,,5406
559977,Overdoses,Community Trends,2022,,Fox Chapel,Total Population,,5406
559978,Overdoses,Community Trends,2017,,Franklin Park,Total Population,,14908
559979,Overdoses,Community Trends,2018,,Franklin Park,Total Population,,14908
559980,Overdoses,Community Trends,2019,,Franklin Park,Total Population,,14908
559981,Overdoses,Community Trends,2020,,Franklin Park,Total Population,,14908
559982,Overdoses,Community Trends,2021,,Franklin Park,Total Population,,14908
559983,Overdoses,Community Trends,2022,,Franklin Park,Total Population,,14908
559984,Overdoses,Community Trends,2017,,Frazer,Total Population,,1117
559985,Overdoses,Community Trends,2018,,Frazer,Total Population,,1117
559986,Overdoses,Community Trends,2019,,Frazer,Total Population,,1117
559987,Overdoses,Community Trends,2020,,Frazer,Total Population,,1117
559988,Overdoses,Community Trends,2021,,Frazer,Total Population,,1117
559989,Overdoses,Community Trends,2022,,Frazer,Total Population,,1117
559990,Overdoses,Community Trends,2017,7,Glassport,Total Population,,4580
559991,Overdoses,Community Trends,2018,,Glassport,Total Population,,4580
559992,Overdoses,Community Trends,2019,7,Glassport,Total Population,,4580
559993,Overdoses,Community Trends,2020,,Glassport,Total Population,,4580
559994,Overdoses,Community Trends,2021,,Glassport,Total Population,,4580
559995,Overdoses,Community Trends,2022,,Glassport,Total Population,,4580
559996,Overdoses,Community Trends,2017,,Glen Osborne,Total Population,,630
559997,Overdoses,Community Trends,2018,,Glen Osborne,Total Population,,630
559998,Overdoses,Community Trends,2019,,Glen Osborne,Total Population,,630
559999,Overdoses,Community Trends,2020,,Glen Osborne,Total Population,,630
560000,Overdoses,Community Trends,2021,,Glen Osborne,Total Population,,630
560001,Overdoses,Community Trends,2022,,Glen Osborne,Total Population,,630
560002,Overdoses,Community Trends,2017,,Glenfield,Total Population,,216
560003,Overdoses,Community Trends,2018,,Glenfield,Total Population,,216
560004,Overdoses,Community Trends,2019,,Glenfield,Total Population,,216
560005,Overdoses,Community Trends,2020,,Glenfield,Total Population,,216
560006,Overdoses,Community Trends,2021,,Glenfield,Total Population,,216
560007,Overdoses,Community Trends,2022,,Glenfield,Total Population,,216
560008,Overdoses,Community Trends,2017,,Green Tree,Total Population,,5075
560009,Overdoses,Community Trends,2018,,Green Tree,Total Population,,5075
560010,Overdoses,Community Trends,2019,,Green Tree,Total Population,,5075
560011,Overdoses,Community Trends,2020,,Green Tree,Total Population,,5075
560012,Overdoses,Community Trends,2021,,Green Tree,Total Population,,5075
560013,Overdoses,Community Trends,2022,,Green Tree,Total Population,,5075
560014,Overdoses,Community Trends,2017,,Hampton,Total Population,,18943
560015,Overdoses,Community Trends,2018,,Hampton,Total Population,,18943
560016,Overdoses,Community Trends,2019,,Hampton,Total Population,,18943
560017,Overdoses,Community Trends,2020,,Hampton,Total Population,,18943
560018,Overdoses,Community Trends,2021,,Hampton,Total Population,,18943
560019,Overdoses,Community Trends,2022,,Hampton,Total Population,,18943
560020,Overdoses,Community Trends,2017,,Harmar,Total Population,,3165
560021,Overdoses,Community Trends,2018,,Harmar,Total Population,,3165
560022,Overdoses,Community Trends,2019,,Harmar,Total Population,,3165
560023,Overdoses,Community Trends,2020,,Harmar,Total Population,,3165
560024,Overdoses,Community Trends,2021,,Harmar,Total Population,,3165
560025,Overdoses,Community Trends,2022,,Harmar,Total Population,,3165
560026,Overdoses,Community Trends,2017,8,Harrison,Total Population,,10722
560027,Overdoses,Community Trends,2018,,Harrison,Total Population,,10722
560028,Overdoses,Community Trends,2019,,Harrison,Total Population,,10722
560029,Overdoses,Community Trends,2020,,Harrison,Total Population,,10722
560030,Overdoses,Community Trends,2021,,Harrison,Total Population,,10722
560031,Overdoses,Community Trends,2022,,Harrison,Total Population,,10722
560032,Overdoses,Community Trends,2017,,Haysville,Total Population,,89
560033,Overdoses,Community Trends,2018,,Haysville,Total Population,,89
560034,Overdoses,Community Trends,2019,,Haysville,Total Population,,89
560035,Overdoses,Community Trends,2020,,Haysville,Total Population,,89
560036,Overdoses,Community Trends,2021,,Haysville,Total Population,,89
560037,Overdoses,Community Trends,2022,,Haysville,Total Population,,89
560038,Overdoses,Community Trends,2017,,Heidelberg,Total Population,,1312
560039,Overdoses,Community Trends,2018,,Heidelberg,Total Population,,1312
560040,Overdoses,Community Trends,2019,,Heidelberg,Total Population,,1312
560041,Overdoses,Community Trends,2020,,Heidelberg,Total Population,,1312
560042,Overdoses,Community Trends,2021,,Heidelberg,Total Population,,1312
560043,Overdoses,Community Trends,2022,,Heidelberg,Total Population,,1312
560044,Overdoses,Community Trends,2017,,Homestead,Total Population,,3193
560045,Overdoses,Community Trends,2018,,Homestead,Total Population,,3193
560046,Overdoses,Community Trends,2019,,Homestead,Total Population,,3193
560047,Overdoses,Community Trends,2020,,Homestead,Total Population,,3193
560048,Overdoses,Community Trends,2021,,Homestead,Total Population,,3193
560049,Overdoses,Community Trends,2022,,Homestead,Total Population,,3193
560050,Overdoses,Community Trends,2017,,Indiana,Total Population,,7422
560051,Overdoses,Community Trends,2018,,Indiana,Total Population,,7422
560052,Overdoses,Community Trends,2019,,Indiana,Total Population,,7422
560053,Overdoses,Community Trends,2020,,Indiana,Total Population,,7422
560054,Overdoses,Community Trends,2021,,Indiana,Total Population,,7422
560055,Overdoses,Community Trends,2022,,Indiana,Total Population,,7422
560056,Overdoses,Community Trends,2017,,Ingram,Total Population,,3455
560057,Overdoses,Community Trends,2018,,Ingram,Total Population,,3455
560058,Overdoses,Community Trends,2019,,Ingram,Total Population,,3455
560059,Overdoses,Community Trends,2020,,Ingram,Total Population,,3455
560060,Overdoses,Community Trends,2021,7,Ingram,Total Population,,3455
560061,Overdoses,Community Trends,2022,,Ingram,Total Population,,3455
560062,Overdoses,Community Trends,2017,,Jefferson Hills,Total Population,,11520
560063,Overdoses,Community Trends,2018,,Jefferson Hills,Total Population,,11520
560064,Overdoses,Community Trends,2019,,Jefferson Hills,Total Population,,11520
560065,Overdoses,Community Trends,2020,,Jefferson Hills,Total Population,,11520
560066,Overdoses,Community Trends,2021,6,Jefferson Hills,Total Population,,11520
560067,Overdoses,Community Trends,2022,,Jefferson Hills,Total Population,,11520
560068,Overdoses,Community Trends,2017,,Kennedy,Total Population,,8354
560069,Overdoses,Community Trends,2018,,Kennedy,Total Population,,8354
560070,Overdoses,Community Trends,2019,,Kennedy,Total Population,,8354
560071,Overdoses,Community Trends,2020,,Kennedy,Total Population,,8354
560072,Overdoses,Community Trends,2021,,Kennedy,Total Population,,8354
560073,Overdoses,Community Trends,2022,,Kennedy,Total Population,,8354
560074,Overdoses,Community Trends,2017,,Kilbuck,Total Population,,707
560075,Overdoses,Community Trends,2018,,Kilbuck,Total Population,,707
560076,Overdoses,Community Trends,2019,,Kilbuck,Total Population,,707
560077,Overdoses,Community Trends,2020,,Kilbuck,Total Population,,707
560078,Overdoses,Community Trends,2021,,Kilbuck,Total Population,,707
560079,Overdoses,Community Trends,2022,,Kilbuck,Total Population,,707
560080,Overdoses,Community Trends,2017,,Leet,Total Population,,1661
560081,Overdoses,Community Trends,2018,,Leet,Total Population,,1661
560082,Overdoses,Community Trends,2019,,Leet,Total Population,,1661
560083,Overdoses,Community Trends,2020,,Leet,Total Population,,1661
560084,Overdoses,Community Trends,2021,,Leet,Total Population,,1661
560085,Overdoses,Community Trends,2022,,Leet,Total Population,,1661
560086,Overdoses,Community Trends,2017,,Leetsdale,Total Population,,1278
560087,Overdoses,Community Trends,2018,,Leetsdale,Total Population,,1278
560088,Overdoses,Community Trends,2019,,Leetsdale,Total Population,,1278
560089,Overdoses,Community Trends,2020,,Leetsdale,Total Population,,1278
560090,Overdoses,Community Trends,2021,,Leetsdale,Total Population,,1278
560091,Overdoses,Community Trends,2022,,Leetsdale,Total Population,,1278
560092,Overdoses,Community Trends,2017,,Liberty,Total Population,,2549
560093,Overdoses,Community Trends,2018,,Liberty,Total Population,,2549
560094,Overdoses,Community Trends,2019,,Liberty,Total Population,,2549
560095,Overdoses,Community Trends,2020,,Liberty,Total Population,,2549
560096,Overdoses,Community Trends,2021,,Liberty,Total Population,,2549
560097,Overdoses,Community Trends,2022,,Liberty,Total Population,,2549
560098,Overdoses,Community Trends,2017,,Lincoln,Total Population,,1071
560099,Overdoses,Community Trends,2018,,Lincoln,Total Population,,1071
560100,Overdoses,Community Trends,2019,,Lincoln,Total Population,,1071
560101,Overdoses,Community Trends,2020,,Lincoln,Total Population,,1071
560102,Overdoses,Community Trends,2021,,Lincoln,Total Population,,1071
560103,Overdoses,Community Trends,2022,,Lincoln,Total Population,,1071
560104,Overdoses,Community Trends,2017,,Marshall,Total Population,,8859
560105,Overdoses,Community Trends,2018,,Marshall,Total Population,,8859
560106,Overdoses,Community Trends,2019,,Marshall,Total Population,,8859
560107,Overdoses,Community Trends,2020,,Marshall,Total Population,,8859
560108,Overdoses,Community Trends,2021,,Marshall,Total Population,,8859
560109,Overdoses,Community Trends,2022,,Marshall,Total Population,,8859
560110,Overdoses,Community Trends,2017,6,McCandless,Total Population,,29597
560111,Overdoses,Community Trends,2018,,McCandless,Total Population,,29597
560112,Overdoses,Community Trends,2019,,McCandless,Total Population,,29597
560113,Overdoses,Community Trends,2020,7,McCandless,Total Population,,29597
560114,Overdoses,Community Trends,2021,7,McCandless,Total Population,,29597
560115,Overdoses,Community Trends,2022,,McCandless,Total Population,,29597
560116,Overdoses,Community Trends,2017,15,McKeesport,Total Population,,19955
560117,Overdoses,Community Trends,2018,16,McKeesport,Total Population,,19955
560118,Overdoses,Community Trends,2019,18,McKeesport,Total Population,,19955
