_id,metric_name,report_group,calendar_year,kpi_count,geo_area_name
370730,Overdoses,Community Trends,2019,,Lincoln-Lemington-Belmar
370731,Overdoses,Community Trends,2020,,Lincoln-Lemington-Belmar
370732,Overdoses,Community Trends,2021,6,Lincoln-Lemington-Belmar
370733,Overdoses,Community Trends,2022,,Lincoln-Lemington-Belmar
370734,Overdoses,Community Trends,2023,,Lincoln-Lemington-Belmar
370735,Overdoses,Community Trends,2018,,Lower Lawrenceville
370736,Overdoses,Community Trends,2019,,Lower Lawrenceville
370737,Overdoses,Community Trends,2020,,Lower Lawrenceville
370738,Overdoses,Community Trends,2021,,Lower Lawrenceville
370739,Overdoses,Community Trends,2022,,Lower Lawrenceville
370740,Overdoses,Community Trends,2023,,Lower Lawrenceville
370741,Overdoses,Community Trends,2018,,Manchester
370742,Overdoses,Community Trends,2019,,Manchester
370743,Overdoses,Community Trends,2020,,Manchester
370744,Overdoses,Community Trends,2021,,Manchester
370745,Overdoses,Community Trends,2022,,Manchester
370746,Overdoses,Community Trends,2023,,Manchester
370747,Overdoses,Community Trends,2018,,Marshall-Shadeland
370748,Overdoses,Community Trends,2019,,Marshall-Shadeland
370749,Overdoses,Community Trends,2020,9,Marshall-Shadeland
370750,Overdoses,Community Trends,2021,9,Marshall-Shadeland
370751,Overdoses,Community Trends,2022,12,Marshall-Shadeland
370752,Overdoses,Community Trends,2023,,Marshall-Shadeland
370753,Overdoses,Community Trends,2018,,Middle Hill
370754,Overdoses,Community Trends,2019,,Middle Hill
370755,Overdoses,Community Trends,2020,,Middle Hill
370756,Overdoses,Community Trends,2021,,Middle Hill
370757,Overdoses,Community Trends,2022,9,Middle Hill
370758,Overdoses,Community Trends,2023,6,Middle Hill
370759,Overdoses,Community Trends,2018,,Morningside
370760,Overdoses,Community Trends,2019,,Morningside
370761,Overdoses,Community Trends,2020,,Morningside
370762,Overdoses,Community Trends,2021,,Morningside
370763,Overdoses,Community Trends,2022,,Morningside
370764,Overdoses,Community Trends,2023,,Morningside
370765,Overdoses,Community Trends,2018,,Mount Oliver
370766,Overdoses,Community Trends,2019,,Mount Oliver
370767,Overdoses,Community Trends,2020,,Mount Oliver
370768,Overdoses,Community Trends,2021,,Mount Oliver
370769,Overdoses,Community Trends,2022,,Mount Oliver
370770,Overdoses,Community Trends,2023,,Mount Oliver
370771,Overdoses,Community Trends,2018,14,Mount Washington
370772,Overdoses,Community Trends,2019,8,Mount Washington
370773,Overdoses,Community Trends,2020,8,Mount Washington
370774,Overdoses,Community Trends,2021,9,Mount Washington
370775,Overdoses,Community Trends,2022,7,Mount Washington
370776,Overdoses,Community Trends,2023,,Mount Washington
370777,Overdoses,Community Trends,2018,,New Homestead
370778,Overdoses,Community Trends,2019,,New Homestead
370779,Overdoses,Community Trends,2020,,New Homestead
370780,Overdoses,Community Trends,2021,,New Homestead
370781,Overdoses,Community Trends,2022,,New Homestead
370782,Overdoses,Community Trends,2023,,New Homestead
370783,Overdoses,Community Trends,2018,,North Oakland
370784,Overdoses,Community Trends,2019,,North Oakland
370785,Overdoses,Community Trends,2020,,North Oakland
370786,Overdoses,Community Trends,2021,,North Oakland
370787,Overdoses,Community Trends,2022,,North Oakland
370788,Overdoses,Community Trends,2023,,North Oakland
370789,Overdoses,Community Trends,2018,,Northview Heights
370790,Overdoses,Community Trends,2019,,Northview Heights
370791,Overdoses,Community Trends,2020,,Northview Heights
370792,Overdoses,Community Trends,2021,,Northview Heights
370793,Overdoses,Community Trends,2022,,Northview Heights
370794,Overdoses,Community Trends,2023,,Northview Heights
370795,Overdoses,Community Trends,2018,,Oakwood
370796,Overdoses,Community Trends,2019,,Oakwood
370797,Overdoses,Community Trends,2020,,Oakwood
370798,Overdoses,Community Trends,2021,,Oakwood
370799,Overdoses,Community Trends,2022,,Oakwood
370800,Overdoses,Community Trends,2023,,Oakwood
370801,Overdoses,Community Trends,2018,,Overbrook
370802,Overdoses,Community Trends,2019,,Overbrook
370803,Overdoses,Community Trends,2020,,Overbrook
370804,Overdoses,Community Trends,2021,,Overbrook
370805,Overdoses,Community Trends,2022,,Overbrook
370806,Overdoses,Community Trends,2023,,Overbrook
370807,Overdoses,Community Trends,2018,,Perry North
370808,Overdoses,Community Trends,2019,,Perry North
370809,Overdoses,Community Trends,2020,,Perry North
370810,Overdoses,Community Trends,2021,,Perry North
370811,Overdoses,Community Trends,2022,,Perry North
370812,Overdoses,Community Trends,2023,,Perry North
370813,Overdoses,Community Trends,2018,,Perry South
370814,Overdoses,Community Trends,2019,,Perry South
370815,Overdoses,Community Trends,2020,,Perry South
370816,Overdoses,Community Trends,2021,,Perry South
370817,Overdoses,Community Trends,2022,7,Perry South
370818,Overdoses,Community Trends,2023,,Perry South
370819,Overdoses,Community Trends,2018,,Point Breeze
370820,Overdoses,Community Trends,2019,,Point Breeze
370821,Overdoses,Community Trends,2020,,Point Breeze
370822,Overdoses,Community Trends,2021,,Point Breeze
370823,Overdoses,Community Trends,2022,,Point Breeze
370824,Overdoses,Community Trends,2023,,Point Breeze
370825,Overdoses,Community Trends,2018,,Point Breeze North
370826,Overdoses,Community Trends,2019,,Point Breeze North
370827,Overdoses,Community Trends,2020,,Point Breeze North
370828,Overdoses,Community Trends,2021,,Point Breeze North
370829,Overdoses,Community Trends,2022,,Point Breeze North
370830,Overdoses,Community Trends,2023,,Point Breeze North
370831,Overdoses,Community Trends,2018,,Polish Hill
370832,Overdoses,Community Trends,2019,,Polish Hill
370833,Overdoses,Community Trends,2020,,Polish Hill
370834,Overdoses,Community Trends,2021,,Polish Hill
370835,Overdoses,Community Trends,2022,,Polish Hill
370836,Overdoses,Community Trends,2023,,Polish Hill
370837,Overdoses,Community Trends,2018,,Regent Square
370838,Overdoses,Community Trends,2019,,Regent Square
370839,Overdoses,Community Trends,2020,,Regent Square
370840,Overdoses,Community Trends,2021,,Regent Square
370841,Overdoses,Community Trends,2022,,Regent Square
370842,Overdoses,Community Trends,2023,,Regent Square
370843,Overdoses,Community Trends,2018,,Ridgemont
370844,Overdoses,Community Trends,2019,,Ridgemont
370845,Overdoses,Community Trends,2020,,Ridgemont
370846,Overdoses,Community Trends,2021,,Ridgemont
370847,Overdoses,Community Trends,2022,,Ridgemont
370848,Overdoses,Community Trends,2023,,Ridgemont
370849,Overdoses,Community Trends,2020,,Saint Clair
370850,Overdoses,Community Trends,2021,,Saint Clair
370851,Overdoses,Community Trends,2022,,Saint Clair
370852,Overdoses,Community Trends,2023,,Saint Clair
370853,Overdoses,Community Trends,2018,6,Shadyside
370854,Overdoses,Community Trends,2019,,Shadyside
370855,Overdoses,Community Trends,2020,,Shadyside
370856,Overdoses,Community Trends,2021,,Shadyside
370857,Overdoses,Community Trends,2022,,Shadyside
370858,Overdoses,Community Trends,2023,,Shadyside
370859,Overdoses,Community Trends,2018,9,Sheraden
370860,Overdoses,Community Trends,2019,,Sheraden
370861,Overdoses,Community Trends,2020,12,Sheraden
370862,Overdoses,Community Trends,2021,9,Sheraden
370863,Overdoses,Community Trends,2022,6,Sheraden
370864,Overdoses,Community Trends,2023,,Sheraden
370865,Overdoses,Community Trends,2018,,South Oakland
370866,Overdoses,Community Trends,2019,,South Oakland
370867,Overdoses,Community Trends,2020,,South Oakland
370868,Overdoses,Community Trends,2021,,South Oakland
370869,Overdoses,Community Trends,2022,,South Oakland
370870,Overdoses,Community Trends,2023,,South Oakland
370871,Overdoses,Community Trends,2018,,South Side Flats
370872,Overdoses,Community Trends,2019,,South Side Flats
370873,Overdoses,Community Trends,2020,,South Side Flats
370874,Overdoses,Community Trends,2021,6,South Side Flats
370875,Overdoses,Community Trends,2022,,South Side Flats
370876,Overdoses,Community Trends,2023,,South Side Flats
370877,Overdoses,Community Trends,2018,,South Side Slopes
370878,Overdoses,Community Trends,2019,,South Side Slopes
370879,Overdoses,Community Trends,2020,,South Side Slopes
370880,Overdoses,Community Trends,2021,6,South Side Slopes
370881,Overdoses,Community Trends,2022,,South Side Slopes
370882,Overdoses,Community Trends,2023,,South Side Slopes
370883,Overdoses,Community Trends,2018,,Spring Garden
370884,Overdoses,Community Trends,2019,,Spring Garden
370885,Overdoses,Community Trends,2020,,Spring Garden
370886,Overdoses,Community Trends,2021,,Spring Garden
370887,Overdoses,Community Trends,2022,,Spring Garden
370888,Overdoses,Community Trends,2023,,Spring Garden
370889,Overdoses,Community Trends,2018,,Spring Hill-City View
370890,Overdoses,Community Trends,2019,,Spring Hill-City View
370891,Overdoses,Community Trends,2020,,Spring Hill-City View
370892,Overdoses,Community Trends,2021,7,Spring Hill-City View
370893,Overdoses,Community Trends,2022,,Spring Hill-City View
370894,Overdoses,Community Trends,2023,,Spring Hill-City View
370895,Overdoses,Community Trends,2018,,Squirrel Hill North
370896,Overdoses,Community Trends,2019,,Squirrel Hill North
370897,Overdoses,Community Trends,2020,,Squirrel Hill North
370898,Overdoses,Community Trends,2021,,Squirrel Hill North
370899,Overdoses,Community Trends,2022,,Squirrel Hill North
370900,Overdoses,Community Trends,2023,,Squirrel Hill North
370901,Overdoses,Community Trends,2018,,Squirrel Hill South
370902,Overdoses,Community Trends,2019,,Squirrel Hill South
370903,Overdoses,Community Trends,2020,,Squirrel Hill South
370904,Overdoses,Community Trends,2021,,Squirrel Hill South
370905,Overdoses,Community Trends,2022,,Squirrel Hill South
370906,Overdoses,Community Trends,2023,,Squirrel Hill South
370907,Overdoses,Community Trends,2018,,Stanton Heights
370908,Overdoses,Community Trends,2019,,Stanton Heights
370909,Overdoses,Community Trends,2020,,Stanton Heights
370910,Overdoses,Community Trends,2021,,Stanton Heights
370911,Overdoses,Community Trends,2022,,Stanton Heights
370912,Overdoses,Community Trends,2023,,Stanton Heights
370913,Overdoses,Community Trends,2018,,Strip District
370914,Overdoses,Community Trends,2019,,Strip District
370915,Overdoses,Community Trends,2020,,Strip District
370916,Overdoses,Community Trends,2021,,Strip District
370917,Overdoses,Community Trends,2022,,Strip District
370918,Overdoses,Community Trends,2023,,Strip District
370919,Overdoses,Community Trends,2018,,Summer Hill
370920,Overdoses,Community Trends,2019,,Summer Hill
370921,Overdoses,Community Trends,2020,,Summer Hill
370922,Overdoses,Community Trends,2021,,Summer Hill
370923,Overdoses,Community Trends,2022,,Summer Hill
370924,Overdoses,Community Trends,2023,,Summer Hill
370925,Overdoses,Community Trends,2018,,Swisshelm Park
370926,Overdoses,Community Trends,2019,,Swisshelm Park
370927,Overdoses,Community Trends,2020,,Swisshelm Park
370928,Overdoses,Community Trends,2021,,Swisshelm Park
370929,Overdoses,Community Trends,2022,,Swisshelm Park
370930,Overdoses,Community Trends,2023,,Swisshelm Park
370931,Overdoses,Community Trends,2018,,Terrace Village
370932,Overdoses,Community Trends,2019,,Terrace Village
370933,Overdoses,Community Trends,2020,,Terrace Village
370934,Overdoses,Community Trends,2021,,Terrace Village
370935,Overdoses,Community Trends,2022,,Terrace Village
370936,Overdoses,Community Trends,2023,,Terrace Village
370937,Overdoses,Community Trends,2018,,Troy Hill
370938,Overdoses,Community Trends,2019,,Troy Hill
370939,Overdoses,Community Trends,2020,,Troy Hill
370940,Overdoses,Community Trends,2021,,Troy Hill
370941,Overdoses,Community Trends,2022,,Troy Hill
370942,Overdoses,Community Trends,2023,,Troy Hill
370943,Overdoses,Community Trends,2018,,Upper Hill
370944,Overdoses,Community Trends,2019,,Upper Hill
370945,Overdoses,Community Trends,2020,,Upper Hill
370946,Overdoses,Community Trends,2021,,Upper Hill
370947,Overdoses,Community Trends,2022,,Upper Hill
370948,Overdoses,Community Trends,2023,,Upper Hill
370949,Overdoses,Community Trends,2018,,Upper Lawrenceville
370950,Overdoses,Community Trends,2019,,Upper Lawrenceville
370951,Overdoses,Community Trends,2020,,Upper Lawrenceville
370952,Overdoses,Community Trends,2021,6,Upper Lawrenceville
370953,Overdoses,Community Trends,2022,,Upper Lawrenceville
370954,Overdoses,Community Trends,2023,,Upper Lawrenceville
370955,Overdoses,Community Trends,2018,,West End
370956,Overdoses,Community Trends,2019,,West End
370957,Overdoses,Community Trends,2020,,West End
370958,Overdoses,Community Trends,2021,,West End
370959,Overdoses,Community Trends,2022,,West End
370960,Overdoses,Community Trends,2023,,West End
370961,Overdoses,Community Trends,2018,,West Oakland
370962,Overdoses,Community Trends,2019,,West Oakland
370963,Overdoses,Community Trends,2020,,West Oakland
370964,Overdoses,Community Trends,2021,,West Oakland
370965,Overdoses,Community Trends,2022,,West Oakland
370966,Overdoses,Community Trends,2023,,West Oakland
370967,Overdoses,Community Trends,2018,,Westwood
370968,Overdoses,Community Trends,2019,,Westwood
370969,Overdoses,Community Trends,2020,,Westwood
370970,Overdoses,Community Trends,2021,,Westwood
370971,Overdoses,Community Trends,2022,,Westwood
370972,Overdoses,Community Trends,2023,,Westwood
370973,Overdoses,Community Trends,2018,,Windgap
370974,Overdoses,Community Trends,2019,,Windgap
370975,Overdoses,Community Trends,2020,,Windgap
370976,Overdoses,Community Trends,2021,,Windgap
370977,Overdoses,Community Trends,2022,,Windgap
370978,Overdoses,Community Trends,2023,,Windgap
370979,Suicides,Community Trends,2018,,Allegheny Center
370980,Suicides,Community Trends,2019,,Allegheny Center
370981,Suicides,Community Trends,2020,,Allegheny Center
370982,Suicides,Community Trends,2021,,Allegheny Center
370983,Suicides,Community Trends,2022,,Allegheny Center
370984,Suicides,Community Trends,2023,,Allegheny Center
370985,Suicides,Community Trends,2020,,Allegheny West
370986,Suicides,Community Trends,2021,,Allegheny West
370987,Suicides,Community Trends,2022,,Allegheny West
370988,Suicides,Community Trends,2023,,Allegheny West
370989,Suicides,Community Trends,2018,,Allentown
370990,Suicides,Community Trends,2019,,Allentown
370991,Suicides,Community Trends,2020,,Allentown
370992,Suicides,Community Trends,2021,,Allentown
370993,Suicides,Community Trends,2022,,Allentown
370994,Suicides,Community Trends,2023,,Allentown
370995,Suicides,Community Trends,2018,,Arlington
