Station #,Station Name,# of Racks,Latitude,Longitude
1091,Semple St & Louisa St,5,40.43874918,-79.95703161
1093,S Bouquet Ave & Sennott St,6,40.44136216,-79.95555639
1094,O'Hara St & Desoto St,5,40.44324426,-79.95984256
1095,Schenley Dr & Forbes Ave (Schenley Plaza),7,40.44301971,-79.95331407
1097,Tennyson Ave & Fifth Ave,6,40.44564886,-79.95327652
1099,Forbes Ave & S Craig St,5,40.44424448,-79.94895279
49251,Schenley Dr & Forbes Ave (Squirrel Hill),6,40.43775296,-79.93363738
49261,Wightman St & Forbes Ave,5,40.43791627,-79.92781162
49271,S Craig St & 5th Ave,6,40.446739,-79.94893
49301,Centre Ave & N Craig St,6,40.45186204,-79.95173693
49311,Hamilton Ave & N Dallas Ave,6,40.45623787,-79.90505576
49321,Bennett St & Eccrue Way,7,40.45668686,-79.89813566
49371,E Liberty Blvd & Larimer Ave,6,40.46361735,-79.91746902
49391,E Liberty Blvd & Negley Ave,5,-40.4677154,-79.92787
49401,Stanton Ave & N Negley Ave,6,40.47122337,-79.92560189
49441,Roup Ave & Friendship Ave,5,40.46150726,-79.93510187
49501,Penn Ave & 39th St,6,40.46490704,-79.96008396
49561,Butler St & 48th St,6,40.47603982,-79.95763779
49581,Liberty Ave & 37th St,6,40.462184,-79.96162
49601,Smallman St & 31st St,6,40.46011138,-79.97276008
49611,24th St & Smallman St,6,40.45400101,-79.98171329
49621,14th St & Penn Ave,6,40.447208,-79.989725
49641,11th St & Penn Ave,6,40.44475071,-79.99391198
49651,Grant St & Strawberry Way,7,40.44170511,-79.99510288
49671,9th St & Penn Ave,5,40.44353412,-79.99839664
49691,Liberty Ave & 6th St,6,40.44193373,-80.00207126
49701,Third Ave & Stanwix St,5,40.44001486,-80.00447989
49731,Ross St & Fourth Ave,7,40.43766313,-79.99629378
49781,Fifth Ave & Miltenberger,6,40.43829598,-79.98117685
49801,Microsoft,6,40.45379691,-79.99094009
49881,Arch St & Jacksonia St,5,40.45777261,-80.00945807
49921,W General Robinson St & Chuck Noll Way,5,40.44741245,-80.01206517
49951,Butler St & 36th St,6,40.46529884,-79.96527672
