UID,City,Place name,Official Station,Station number,Free bikes,Total bikes,Place type,Comment,Setpoint bikes,Bike racks,Show in maps,Battery voltage,Solar voltage,Terminal type,Online,Time stamp,Creation date
49674965,Pittsburgh,BIKE 71159,0,,1,1,Individual bike,,0,0,1,,,,0,7/14/2021 20:52,
49675364,Pittsburgh,BIKE 70577,0,,0,1,Individual bike,,0,0,1,,,,0,7/14/2021 21:25,
49675531,Pittsburgh,BIKE 70362,0,,1,1,Individual bike,,0,0,1,,,,0,7/14/2021 21:46,
49675574,Pittsburgh,BIKE 70542,0,,1,1,Individual bike,,0,0,1,,,,0,7/14/2021 21:43,
49675704,Pittsburgh,BIKE 70587,0,,1,1,Individual bike,,0,0,1,,,,0,7/14/2021 21:54,
49676791,Pittsburgh,BIKE 71173,0,,1,1,Individual bike,,0,0,1,,,,0,7/14/2021 23:03,
49677312,Pittsburgh,BIKE 70924,0,,1,1,Individual bike,,0,0,1,,,,0,7/14/2021 23:27,
49688166,Pittsburgh,BIKE 70856,0,,1,1,Individual bike,,0,0,1,,,,0,7/15/2021 3:27,
49693643,Pittsburgh,BIKE 70700,0,,1,1,Individual bike,,0,0,1,,,,0,7/15/2021 5:01,
49706475,Pittsburgh,BIKE 70068,0,,1,1,Individual bike,,0,0,1,,,,0,7/15/2021 8:09,
19077730,Pittsburgh,Sara's Car,0,666,0,0,Service car,,0,2,0,,,none,0,6/16/2021 8:57,
342914,Pittsburgh,Liberty Ave & Stanwix St,1,1000,15,18,Standard place,TID: 1115608256,10,16,1,,,sign,0,7/15/2021 2:08,
342915,Pittsburgh,Forbes Ave & Market Square,1,1001,12,17,Standard place,KEEP ONLINE  ,10,19,1,12,,,,,
342917,Pittsburgh,Third Ave & Wood St,1,1002,6,7,Standard place,Terminal ID: 1115624014  KEEP ONLINE 06.06.21 3:01:13:  06.06.21 3:01:13: Terminal Offline,8,15,1,12,,,,,
342860,Pittsburgh,First Ave & Smithfield St,1,1003,3,4,Standard place,KEEP ONLINE    Sign station - 1115622521 - JAR 23.May.20,5,9,1,11,,,,,
342851,Pittsburgh,First Ave & B St (T Station),1,1004,4,4,Standard place,Term ID: 412912397 smartbox wouldn't come online,,,,,,,,,
342852,Pittsburgh,Forbes Ave & Grant St,1,1005,3,3,Standard place,Winter Hibernation    Term ID: 1114985116,5,13,1,12,,,,,
342854,Pittsburgh,Ross St & Sixth Ave (Steel Plaza T Station),1,1006,2,3,Standard place,Term ID 1114984217  ,6,7,1,,,sign,0,7/13/2021 23:24,
342858,Pittsburgh,Stevenson St & Forbes Ave,1,1007,1,1,Standard place,Winter hibernation  02.06.21 21:07:57:  02.06.21 21:07:57: Terminal Offline,6,15,1,12,,,,,
342856,Pittsburgh,Centre Ave & PPG Paints Arena,1,1008,3,3,Standard place,Winter Hibernation  Term id 1114993838,5,5,1,12,,,,,
342912,Pittsburgh,12th St & Penn Ave,1,1009,10,10,Standard place,,5,19,1,12,,,,,
342916,Pittsburgh,10th St & Penn Ave,1,1010,0,1,Standard place,Term ID: 1115642379,8,15,1,13,,,,,
342853,Pittsburgh,Fort Duquesne Blvd & 7th St,1,1011,10,10,Standard place,Winter Hibernation,6,11,1,,,sign,0,7/15/2021 7:17,
342849,Pittsburgh,North Shore Trail & Fort Duquesne Bridge,1,1012,7,7,Standard place,KEEP ONLINE,10,31,1,13,,,,,
342871,Pittsburgh,Isabella St & Federal St (PNC Park),1,1013,10,10,Standard place,In hibernation for winter,8,15,1,12,,,,,
342863,Pittsburgh,Ridge Ave & Brighton Rd (CCAC),1,1014,3,3,Standard place,Winter hibernation. ,6,19,1,13,,,,,
342888,Pittsburgh,Federal St & E North Ave,1,1015,7,7,Standard place,Station was moved across the street closer to the bus shelter SK 7/29,6,10,1,12,,,,,
342870,Pittsburgh,17th St & Penn Ave,1,1016,5,8,Standard place,,5,19,1,12,,,,,
342872,Pittsburgh,21st St & Penn Ave,1,1017,11,12,Standard place,KEEP ONLINE  ,8,18,1,13,,,,,
342875,Pittsburgh,Butler St & Stanton Ave,1,1018,6,6,Standard place,KEEP ONLINE    ,5,5,1,13,,,,,
343649,Pittsburgh,42nd St & Butler St,1,1019,6,7,Standard place,Winter Hibernation,5,17,1,,,sign,0,7/14/2021 20:11,
342873,Pittsburgh,42nd & Penn Ave.,1,1020,2,4,Standard place,Winter Hibernation  ,8,8,1,13,,,,,
342874,Pittsburgh,Taylor St & Liberty Ave,1,1021,1,1,Standard place,KEEP ONLINE,8,19,1,13,,,,,
342876,Pittsburgh,Liberty Ave & S Millvale Ave (West Penn Hospital),1,1022,0,1,Standard place,Term ID: 1115637486,8,15,1,,,sign,0,7/14/2021 18:55,
342894,Pittsburgh,Liberty Ave & Baum Blvd,1,1023,0,1,Standard place,Winter Hibernation ,6,15,1,11,,,,,
342855,Pittsburgh,S Negley Ave & Baum Blvd,1,1024,9,10,Standard place,KEEP ONLINE,6,17,1,12,,,,,
342878,Pittsburgh,Penn Ave & N Fairmount St,1,1025,1,1,Standard place,Winter Hibernation    Terminal ID: 1115629270  (solar needs replaced) 11.Feb.20,8,15,1,12,,,,,
342913,Pittsburgh,Penn Ave & S Whitfield St,1,1026,11,12,Standard place,KEEP ONLINE,8,13,1,,,sign,0,7/14/2021 20:03,
342901,Pittsburgh,Shady Ave & Ellsworth Ave,1,1027,2,4,Standard place,,5,19,1,12,,,,,
342900,Pittsburgh,Penn Ave & Putnam St (Bakery Square),1,1028,3,6,Standard place,  KEEP ONLINE  20.08.20 18:42:20:   20.08.20 18:42:20: Terminal Offline,6,8,1,13,,,,,
342899,Pittsburgh,Alder St & S Highland Ave,1,1029,6,7,Standard place,Term id: 1115666377,5,19,1,13,,,,,
342891,Pittsburgh,S Euclid Ave & Centre Ave,0,1030,0,0,Standard place,Removed for winter - JAR ,2,12,0,,,sign,0,12/17/2019 12:11,
342895,Pittsburgh,Maryland Ave & Ellsworth Ave,1,1031,4,5,Standard place,Term ID: 1115624757,5,19,1,13,,,,,
342896,Pittsburgh,Walnut St & College St,1,1032,4,4,Standard place,Winter Hibernation 30.06.21 1:15:11:  30.06.21 1:15:11: Terminal Offline,8,14,1,13,,,,,
342893,Pittsburgh,Ivy St & Walnut St   ,1,1033,3,3,Standard place,KEEP ONLINE 13.03.21 19:23:49:  13.03.21 19:23:49: Terminal Offline,8,19,1,13,,,,,
342890,Pittsburgh,Ellsworth Ave & N Neville St,1,1034,1,3,Standard place,Hibernation for winter ,6,15,1,12,,,,,
342887,Pittsburgh,Fifth Ave & S Dithridge St,1,1035,1,1,Standard place,Winter Hibernation,6,8,1,12,,,,,
342885,Pittsburgh,Schenley Dr at Schenley Plaza (Carnegie Library Main),1,1036,3,3,Standard place,1115623592 - term id  ,8,18,1,12,,,,,
342859,Pittsburgh,Frew St & Schenley Dr,1,1037,7,7,Standard place,Winter Hibernation,8,20,1,12,,,,,
342889,Pittsburgh,Boulevard of the Allies & Parkview Ave,1,1038,6,6,Standard place,Winter hibernation ,8,19,1,12,,,,,
342879,Pittsburgh,Atwood St & Bates St,1,1039,2,2,Standard place,Winter hibernation  15.06.21 22:56:55:  15.06.21 22:56:55: Terminal Offline,5,8,1,,,sign,0,7/14/2021 20:18,
342884,Pittsburgh,O'Hara St and University Place (Soldiers and Sailors Memorial),1,1040,0,0,Standard place,,8,21,1,12,,,,,
342882,Pittsburgh,Fifth Ave & S Bouquet St,1,1041,0,0,Standard place,Term ID: 1115635920 09.04.21 17:51:09:  09.04.21 17:51:09: Terminal Offline,8,19,1,,,sign,0,7/14/2021 18:25,
342869,Pittsburgh,Centre Ave & Addison St,1,1042,3,3,Standard place,Temp ID: 412899996 25.06.21 20:19:27:  25.06.21 20:19:27: Terminal Offline,4,12,1,,,sign,0,7/14/2021 12:54,
342877,Pittsburgh,S Millvale Ave & Centre Ave,1,1043,8,8,Standard place,KEEP ONLINE  ,6,13,1,13,,,,,
342881,Pittsburgh,Zulema St & Coltart Ave,1,1044,4,4,Standard place,Hibernation Mode,5,19,1,13,,,,,
342868,Pittsburgh,S 27th St & Sidney St. (Southside Works),1,1045,10,12,Standard place,Term id 1114987154    Battery cable is stuck in smartbox. Will need troubleshooting one day. Be careful not to twist the base of the power cable too much! Sk 12/26  27.08.20 1:10:39:   27.08.20 1:10:39: Terminal Offline,10,19,1,,,sign,0,7/15/2021 8:50,
342867,Pittsburgh,S 25th St & E Carson St,1,1046,5,6,Standard place,Hibernation for winter ,6,19,1,,,sign,0,7/14/2021 23:00,
342866,Pittsburgh,S 22nd St & E Carson St,1,1047,3,3,Standard place,Winter Hibernation:  Term. ID - 1114987774    Graffiti on station - JAR 1.Dec.20,6,19,1,12,,,,,
342864,Pittsburgh,S 18th St & Sidney St,1,1048,8,10,Standard place,temp off: ID Is 1115666153 31.05.21 2:23:49:  31.05.21 2:23:49: Terminal Offline,8,16,1,,,sign,0,7/14/2021 20:08,
342862,Pittsburgh,S 12th St & E Carson St,1,1049,3,4,Standard place,Hibernation for winter ,8,19,1,,,sign,0,7/14/2021 23:25,
368320,Pittsburgh,Healthy Ride Hub,1,1050,21,36,Standard place,This place is for bikes that require short term storage until being repaired. ,0,2,0,,,sign,0,7/15/2021 8:27,
373640,Pittsburgh,Transit,0,1051,6,6,Service car,,0,17,0,,,none,0,7/15/2021 8:35,
14596896,Pittsburgh,McAnulty Dr & Forbes Ave,1,1052,1,2,Standard place,,5,6,1,,,sign,0,7/15/2021 8:49,
11403306,Pittsburgh,Hamilton Ave & Zodiac Way,1,1053,2,4,Standard place, ,3,5,1,,,sign,0,7/14/2021 15:30,
10105608,Pittsburgh,Smithfield St & Fourth Ave,1,1054,0,1,Standard place,Winter Hibernation Mode  14.06.20 20:02:49:   14.06.20 20:02:49: Terminal Offline,5,6,1,,,sign,0,7/14/2021 17:02,
10639910,Pittsburgh,Wood St & Sixth Ave,1,1056,8,8,Standard place,Term id 412905895      Customer reported graffiti on station - JAR 3.June.21,5,7,1,,,sign,0,7/15/2021 8:52,
5225880,Pittsburgh,Burns White Center at 3 Crossings,1,1059,3,3,Standard place,Winter Hibernation Mode SK 12/2/19,8,12,1,,,sign,0,7/14/2021 23:19,
10165606,Pittsburgh,Penn Ave & 29th St,1,1060,3,3,Standard place,Winter Hibernation Mode SK 12/2/19,5,8,1,,,sign,0,7/15/2021 8:23,
2190846,Pittsburgh,33rd St & Penn Ave ,1,1061,2,3,Standard place, 09.04.21 23:42:19:  09.04.21 23:42:19: Terminal Offline,2,6,1,12,,,,,
11130446,Pittsburgh,S Winebiddle St & Penn Ave,1,1062,0,0,Standard place,Winter Hibernation Mode SK 12/2/19  16.07.20 20:46:13:   16.07.20 20:46:13: Terminal Offline  16.07.20 20:51:34:   16.07.20 20:51:34: Terminal Offline,5,5,1,,,sign,0,7/13/2021 16:58,
10631736,Pittsburgh,Penn Ave & N Atlantic Ave,1,1063,0,0,Standard place,Winter Hibernation Mode,5,5,1,,,sign,0,7/13/2021 10:08,
11403287,Pittsburgh,Frankstown Ave & E Liberty Blvd,1,1064,0,0,Standard place,This station is in the median. ,4,6,1,,,sign,0,7/14/2021 11:24,
8963744,Pittsburgh,N Homewood Ave & Finance St (Homewood Station),1,1066,5,5,Standard place,,4,8,1,12,,,,,
8965365,Pittsburgh,Hamilton Ave & N Lang Ave,0,1067,0,0,Standard place,Removed station for winter SK 12/2/19,2,5,0,,,sign,0,12/6/2019 14:23,
13698079,Pittsburgh,Forbes Ave & Murray Ave,1,1068,3,3,Standard place,,5,5,1,,,sign,0,7/14/2021 16:27,
11053815,Pittsburgh,Beacon St & Murray Ave,1,1069,0,0,Standard place,KEEP ONLINE,5,6,1,,,sign,0,7/12/2021 10:33,
10480686,Pittsburgh,Hobart St & Wightman St,1,1070,2,2,Standard place,Winter Hibernation Mode,5,5,1,,,sign,0,7/14/2021 19:20,
23073233,Pittsburgh,Glasshouse,1,1072,2,5,Standard place,KEEP ONLINE  29.08.20 21:35:51:   29.08.20 21:35:51: Terminal Offline  07.11.20 23:35:26:   07.11.20 23:35:26: Terminal Offline 18.03.21 9:06:07:  18.03.21 9:06:07: Terminal Offline 07.06.21 15:08:42:  07.06.21 15:08:42: Terminal Offline,6,10,1,12,,,,,
15488098,Pittsburgh,South Side Trail & S 4th St,1,1074,2,5,Standard place,,5,5,1,,,sign,0,7/15/2021 6:46,
15488158,Pittsburgh,Hot Metal St & Tunnel Blvd,1,1084,17,17,Standard place,,8,10,1,,,sign,0,7/15/2021 8:38,
43800250,Pittsburgh,Eliza Furnace Trail at Swinburne St,1,1085,3,5,Standard place,New station 2021 - In trailhead parking lot off of Swineburne St,8,8,1,,,sign,0,7/15/2021 1:32,
43800308,Pittsburgh,Technology Dr & Bates St ,1,1086,10,11,Standard place,New station 2021,8,8,1,,,sign,0,7/15/2021 6:59,
10567246,Pittsburgh,Frazier St & Dawson St,1,1088,4,4,Standard place,Winter Hibernation Mode,5,5,1,,,sign,0,7/14/2021 13:13,
10567211,Pittsburgh,Semple St & Louisa St,1,1091,0,0,Standard place,Test rent/return via BC at this station pls! Customer reporting consistent issues of locks not releasing here - JAR 1.Sept.20,4,5,1,,,sign,0,7/14/2021 12:35,
10558216,Pittsburgh,S Bouquet Ave & Sennott St,1,1093,2,5,Standard place,,6,6,1,,,sign,0,7/14/2021 18:58,
10558197,Pittsburgh,O'Hara St & Desoto St,1,1094,0,0,Standard place,,8,5,1,,,sign,0,7/14/2021 17:07,
10558237,Pittsburgh,Schenley Dr & Forbes Ave (Schenley Plaza),1,1095,4,5,Standard place,,5,7,1,,,sign,0,7/15/2021 8:32,
11053651,Pittsburgh,Tennyson Ave & Fifth Ave,1,1097,1,2,Standard place,**Needs 3 dock caps - JAR 27.Oct.20      Winter Hibernation Mode,5,6,1,,,sign,0,7/14/2021 17:22,
8788407,Pittsburgh,S Bellefield Ave & Filmore St,0,1098,0,0,Standard place,,3,5,0,,,sign,0,1/14/2020 11:53,
10160914,Pittsburgh,Forbes Ave & S Craig St,1,1099,6,6,Standard place,,4,5,1,,,sign,0,7/15/2021 8:37,
43191405,Pittsburgh,Lytle St & Eliza St,1,49201,5,5,Standard place,New station 2021,5,10,1,13,,,,,
11053841,Pittsburgh,Schenley Dr & Forbes Ave,1,49251,1,1,Standard place,Winter Hibernation Mode,4,6,1,,,sign,0,7/12/2021 9:19,
10480733,Pittsburgh,Wightman St & Forbes Ave,1,49261,3,3,Standard place,Winter Hibernation Mode,5,5,1,,,sign,0,7/13/2021 13:58,
8787121,Pittsburgh,S Craig St & 5th Ave,1,49271,0,0,Standard place,,5,6,1,,,sign,0,7/14/2021 16:53,
10480782,Pittsburgh,Centre Ave & N Craig St,1,49301,4,6,Standard place,,6,6,1,,,sign,0,7/15/2021 2:44,
11403360,Pittsburgh,Hamilton Ave & N Dallas Ave,1,49311,5,5,Standard place,,3,6,1,,,sign,0,7/13/2021 14:27,
11403391,Pittsburgh,Bennett St & Eccrue Way,1,49321,4,4,Standard place,,3,7,1,,,sign,0,7/13/2021 20:36,
10597533,Pittsburgh,Frankstown Ave & Eastview St,0,49341,0,0,Standard place,Removed station for winter SK 12/2/19,2,6,0,,,sign,0,12/14/2019 10:03,
10597589,Pittsburgh,Penn Ave at The Village at Eastside,0,49351,0,0,Standard place,Removed for winter sk 12/10,2,5,0,,,sign,0,12/10/2019 15:46,
10597581,Pittsburgh,E Liberty Blvd & Larimer Ave,1,49371,3,5,Standard place,**GLASS at station and 3 bollards down - JAR 27.Oct.20      Winter Hibernation Mode,4,6,1,,,sign,0,7/14/2021 21:53,
13369324,Pittsburgh,E Liberty Blvd & Negley Ave,1,49391,6,7,Standard place,,5,5,1,,,sign,0,7/14/2021 22:13,
13368143,Pittsburgh,Stanton Ave & N Negley Ave,1,49401,8,8,Standard place,,5,6,1,,,sign,0,7/14/2021 22:35,
10480628,Pittsburgh,Penn Ave & Negley Ave,0,49431,0,0,Standard place,,3,6,0,,,sign,0,12/13/2019 12:47,
11053694,Pittsburgh,Roup Ave & Friendship Ave,1,49441,0,1,Standard place,Winter Hibernation Mode SK 12/2/19,5,5,1,,,sign,0,7/13/2021 17:56,
11130441,Pittsburgh,Friendship Ave & S Pacific Ave,0,49461,0,0,Standard place,Removed for winter SK 12/10,3,6,0,,,sign,0,12/10/2019 15:46,
10480902,Pittsburgh,Liberty Ave & Fisk St,0,49491,0,0,Standard place,,2,5,0,,,sign,0,12/6/2019 14:57,
8686274,Pittsburgh,Penn Ave & 39th St,1,49501,2,2,Standard place,,5,6,1,,,sign,0,7/14/2021 21:25,
8686329,Pittsburgh,Butler St & 48th St,1,49561,7,7,Standard place,,5,6,1,,,sign,0,7/14/2021 17:20,
8785610,Pittsburgh,Liberty Ave & 37th St,1,49581,3,3,Standard place,,5,6,1,,,sign,0,7/14/2021 20:41,
8724677,Pittsburgh,Smallman St & 31st St,1,49601,1,1,Standard place,,4,6,1,,,sign,0,7/14/2021 21:38,
8686229,Pittsburgh,24th St & Smallman St,1,49611,3,5,Standard place,,4,6,1,,,sign,0,7/15/2021 7:22,
10727824,Pittsburgh,14th St & Penn Ave,1,49621,5,5,Standard place,Winter Hibernation Mode SK 12/2/19,5,6,1,,,sign,0,7/14/2021 11:31,
9724082,Pittsburgh,11th St & Penn Ave,1,49641,2,2,Standard place,,5,6,1,,,sign,0,7/15/2021 8:29,
10214358,Pittsburgh,Grant St & Strawberry Way,1,49651,6,8,Standard place,,4,7,1,,,sign,0,7/15/2021 1:02,
9724107,Pittsburgh,Seventh Ave & Liberty Ave,0,49661,0,0,Standard place,Removed station for winter sk 12/10,3,6,0,,,sign,0,12/10/2019 15:45,
10214400,Pittsburgh,9th St & Penn Ave,1,49671,3,4,Standard place, 22.05.21 1:54:33:  22.05.21 1:54:33: Terminal Offline,5,5,1,,,sign,0,7/14/2021 17:01,
9724141,Pittsburgh,Liberty Ave & 6th St,1,49691,6,6,Standard place,Installed a kiosk shell on 12/2/19 and added 4 docks. SK  29.07.20 5:23:54:   29.07.20 5:23:54: Terminal Offline 04.07.21 3:19:26:  04.07.21 3:19:26: Terminal Offline,6,10,1,12,,,,,
15488037,Pittsburgh,Third Ave & Stanwix St,1,49701,8,8,Standard place,,5,5,1,,,sign,0,7/15/2021 8:31,
10214446,Pittsburgh,First Ave & Stanwix St,0,49711,0,0,Standard place,removed station for winter sk 12/10,3,7,0,,,sign,0,12/10/2019 15:45,
10107789,Pittsburgh,Ross St & Fourth Ave,1,49731,1,2,Standard place,,5,7,1,,,sign,0,7/15/2021 5:28,
10214305,Pittsburgh,Washington Pl & Centre Ave,0,49741,0,0,Standard place,,4,5,0,,,sign,0,12/16/2019 11:28,
10178017,Pittsburgh,Forbes Ave & Jumonville St,0,49771,0,0,Standard place,,3,5,0,,,sign,0,12/6/2019 13:58,
10178394,Pittsburgh,Fifth Ave & Miltenberger St,1,49781,3,4,Standard place,,4,6,1,,,sign,0,7/14/2021 12:55,
20789602,Pittsburgh,Microsoft,1,49801,5,5,Standard place,11.07.20 0:05:41:   11.07.20 0:05:41: Terminal Offline 11.06.21 21:55:59:  11.06.21 21:55:59: Terminal Offline 07.07.21 18:58:40: Station  All locks are out of order ,5,6,1,,,sign,0,7/14/2021 20:57,
10727045,Pittsburgh,Arch St & Jacksonia St,1,49881,2,2,Standard place,Winter Hibernation - JAR 16.Dec.19,4,5,1,,,sign,0,7/13/2021 13:31,
10020214,Pittsburgh,W General Robinson St & Chuck Noll Way,1,49921,3,4,Standard place,10.10.20 19:54:05:   10.10.20 19:54:05: Terminal Offline,4,5,1,,,sign,0,7/13/2021 17:37,
14561100,Pittsburgh,Allegheny Station,1,49941,5,5,Standard place,,5,8,1,,,stele,0,7/14/2021 19:54,
8724691,Pittsburgh,Butler St & 36th St,1,49951,5,5,Standard place,,5,6,1,,,sign,0,7/14/2021 20:52,
2670061,Pittsburgh,Trike,0,4996,0,0,Service car,,0,3,0,,,none,0,7/14/2021 12:22,
614599,Pittsburgh,Missing New,0,6666,2,2,Missed bikes,,0,0,0,,,none,0,4/22/2021 7:54,
39065830,Pittsburgh,New Jersey Bike Transfer,0,88882,0,86,nextbike storage,These place will store new jersey bikes until we release them SK 11/9/20,0,0,0,,,none,0,7/14/2021 10:50,
33030482,Pittsburgh,00 Crash Bikes,0,88883,0,1,nextbike storage,This place is crash SK 5/19,0,0,0,,,unknown,0,7/7/2021 7:39,
30023961,Pittsburgh,00 Good Bike No BC,0,88884,0,0,nextbike storage,This place is for bikes that are ready to head out the door,,,,,,,,,
30012270,Pittsburgh,00 Basement (Stripped to Frame),0,88885,0,0,nextbike storage,These are bikes in the basement stripped down to the frame unless otherwise noted Sk 5/19,0,0,0,,,unknown,0,4/22/2021 10:21,
5285783,Pittsburgh,00 Rebuilds (Frame Scrapped),1,88886,0,359,nextbike storage,This place is to store bike numbers that need to be reassigned onto rebuilt frames.,0,0,0,,,none,0,7/9/2021 9:39,
29583264,Pittsburgh,00 Extended Repairs,0,88887,0,0,nextbike storage,This place is for bikes that need repaired,,,,,,,,,
29583112,Pittsburgh,00 Bad Fork No BC,1,88888,0,0,nextbike storage,This place is made of bikes that need a fork and BC ,0,0,0,,,none,0,4/22/2021 14:14,
433866,Pittsburgh,Cold Storage (DO NOT USE),1,88889,0,0,nextbike storage,Cold storage to be discontinued eventually as bikes get sorted. sk 5/19 ,0,0,0,,,none,0,4/6/2021 15:43,
